ID,D,T,AtmPr,WindD,WindS,Gust,WaveH,WaveP,WaveD,Hmax,AirT,SeaT,Hum,Code
A2,55,12,989.099,230,17.077,26.185,1.484,4.102,215,2.188,9.385,9.108,75.781,0.0
A2,55,13,988.367,241,13.889,18.785,1.484,4.102,205,1.875,8.75,9.137,79.59,0.0
A2,55,14,986.963,222,17.76,24.591,1.406,4.219,214,2.188,9.434,9.179,73.828,0.0
A2,55,15,986.023,215,17.191,22.656,1.406,4.102,208,2.031,9.971,9.174,75.488,0.0
A2,55,16,984.863,215,17.988,22.77,1.25,3.984,198,1.719,10.117,9.148,70.41,0.0
A2,55,17,984.583,254,18.216,22.428,1.25,4.453,200,1.875,8.945,9.113,82.324,0.0
A2,55,18,983.191,242,28.12,34.496,1.328,4.57,203,2.188,9.092,9.119,74.707,1.0
A2,55,19,982.104,241,30.283,41.896,1.563,4.805,208,2.656,8.799,9.141,70.996,1.0
A2,55,20,980.774,243,28.12,39.733,1.719,4.805,218,2.5,9.043,9.128,69.141,1.0
A2,55,21,979.651,252,28.803,40.871,2.188,5.039,231,2.969,8.75,9.102,69.336,1.0
A2,55,22,978.516,254,28.007,40.074,2.813,5.391,233,3.594,8.652,9.122,69.922,1.0
A2,55,23,977.759,256,25.616,38.367,3.359,5.625,229,6.406,8.506,9.104,74.609,0.0
A2,56,0,977.93,262,26.413,38.708,3.359,5.625,236,5.469,8.457,9.088,74.512,0.0
A2,56,1,977.441,264,25.16,36.431,3.594,5.742,240,5.781,8.262,9.066,72.07,0.0
A2,56,2,977.893,274,27.437,41.896,3.203,5.742,245,5.0,7.969,9.078,74.316,1.0
A2,56,3,978.271,275,28.69,40.644,3.438,5.859,250,4.219,8.066,9.075,74.219,1.0
A2,56,4,979.236,281,29.828,41.441,2.969,5.625,264,4.219,7.529,9.066,80.566,1.0
A2,56,5,980.225,284,28.917,42.693,2.656,5.391,262,3.75,7.383,9.062,80.957,1.0
A2,56,6,981.494,290,28.576,41.327,2.734,5.391,263,3.75,7.285,9.082,80.371,1.0
A2,56,7,982.41,290,29.145,40.074,2.344,5.156,259,3.906,7.676,9.093,73.73,1.0
A2,56,8,983.142,291,29.6,39.505,2.5,5.039,278,4.219,7.725,9.036,72.266,1.0
A2,56,9,984.839,295,25.73,40.985,2.734,5.273,283,3.75,7.676,8.998,72.07,0.0
A2,56,10,987.0,298,26.982,38.936,2.5,5.273,301,3.438,7.48,8.983,73.73,0.0
A2,56,11,988.818,300,25.502,35.862,2.656,5.391,308,4.531,6.357,9.022,79.102,0.0
A2,56,12,990.503,307,21.062,30.17,2.578,5.508,308,3.906,7.188,9.104,69.531,0.0
A2,56,13,992.065,316,22.77,31.308,2.344,5.508,319,3.906,7.92,9.097,59.766,0.0
A2,56,14,993.042,322,17.191,23.111,2.109,5.273,322,3.125,8.213,9.097,58.691,0.0
A2,56,15,993.738,300,18.785,25.843,2.031,5.156,332,2.5,8.408,9.111,65.918,0.0
A2,56,16,994.824,320,13.434,18.785,2.188,5.039,343,3.281,8.652,9.128,62.109,0.0
A2,56,17,995.654,298,14.345,18.102,1.719,4.688,356,2.5,9.385,9.113,59.57,0.0
A2,56,18,996.582,303,17.305,22.77,1.406,4.219,356,1.719,9.385,9.108,65.039,0.0
A2,56,19,997.742,294,16.508,21.403,1.328,3.984,345,1.719,9.092,9.089,67.383,0.0
A2,56,20,998.584,303,15.939,20.606,1.25,3.867,342,1.719,8.896,9.02,66.309,0.0
A2,56,21,999.353,311,13.434,17.419,1.25,3.867,330,1.719,8.604,8.996,62.695,0.0
A2,56,22,999.976,302,13.776,18.102,1.172,4.102,342,1.563,8.311,8.972,66.406,0.0
A2,56,23,999.854,289,13.32,16.622,1.094,4.102,336,1.719,7.871,8.97,74.512,0.0
A2,57,0,1000.061,326,16.508,21.859,1.094,4.219,316,1.563,7.188,9.014,70.313,0.0
A2,57,1,1000.0,342,14.003,16.622,1.25,4.336,328,1.719,6.943,9.075,70.215,0.0
A2,57,2,999.817,336,11.84,14.8,1.094,4.453,333,1.719,6.846,9.053,69.727,0.0
A2,57,3,999.719,351,11.726,15.597,1.094,4.336,339,1.563,6.553,9.064,70.996,0.0
A2,57,4,999.475,348,12.865,16.963,1.094,4.102,4,1.406,6.748,9.062,73.34,0.0
A2,57,5,999.487,346,11.385,15.825,1.094,3.984,357,1.563,6.553,9.051,73.145,0.0
A2,57,6,999.426,350,13.889,19.582,1.094,3.75,10,1.563,6.553,9.049,73.926,0.0
A2,57,7,999.976,350,12.068,17.533,1.016,3.516,13,1.094,6.455,9.06,74.707,0.0
A2,57,8,1000.549,349,12.979,18.671,1.016,3.633,14,1.25,6.553,9.082,72.656,0.0
A2,57,9,1001.282,345,13.776,19.126,1.016,3.633,6,1.25,6.504,9.066,71.973,0.0
A2,57,10,1002.087,347,15.028,19.582,1.094,3.75,359,1.563,6.553,9.005,71.289,0.0
A2,57,11,1002.771,341,14.003,19.696,1.172,3.984,356,1.719,6.553,9.075,74.219,0.0
A2,57,12,1003.186,347,13.776,18.102,1.094,4.336,350,1.875,6.748,9.126,69.727,0.0
A2,57,13,1003.577,354,14.573,18.216,1.172,4.57,3,1.719,7.041,9.128,64.941,0.0
